[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_8// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=61&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=62&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=63&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_5// Success after 2 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=57&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 2 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=58&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=65&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] WARNING // api.api_connexion // ThreadPoolExecutor-0_7// Backing off 0.3 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=66&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] WARNING // api.api_connexion // ThreadPoolExecutor-0_9// Backing off 0.8 secondsafter 1 tries ==> Exception: too many calls
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_1// Success after 2 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=55&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=68&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=67&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=73&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_8// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=69&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=70&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=71&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:22] INFO // api.api_connexion // ThreadPoolExecutor-0_5// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=72&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_1// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=76&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=79&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=77&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 2 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=74&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=81&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=78&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_6// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=85&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=82&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_8// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=80&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:23] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 2 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=75&batch_size=50&jurisdiction=cc&date_start=2023
